STD_ID,   number,Пол,Статус,Дата выпуска,Категория обучения,Форма обучения,Шифр,направление (специальность),   ,Образование,Дата выдачи,Что именно закончил
162331,2473.0,Ж,СТ,,БП,Д,44.03.01,Педагогическое образование,10032.0,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА N  10, НОВГОРОД"
162334,3086.0,М,СТ,,БП,Д,44.03.01,Педагогическое образование,10339.0,СР,2016-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  26, НОВГОРОД"
162335,2583.0,М,СТ,,БП,Д,44.03.01,Педагогическое образование,4692.0,СР,2016-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  23, НОВГОРОД"
162320,3229.0,Ж,СТ,,БП,Д,44.03.05,Педагогическое образование (с двумя профилями подготовки),10365.0,СР,2016-06-23 00:00:00,"ГИМНАЗИЯ N   2, НОВГОРОД"
162304,845.0,Ж,СТ,,БП,Д,44.03.05,Педагогическое образование (с двумя профилями подготовки),2173.0,СР,2013-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N  31, НОВГОРОД"
163240,2378.0,Ж,СТ,,БП,З,35.03.07,Технология производства и переработки сельскохозяйственной продукции,10021.0,СП,2004-06-18 00:00:00,Аграрный техникум г.Новгород
170466,3130.0,Ж,СТ,,ДОГ,З,35.03.07,Технология производства и переработки сельскохозяйственной продукции,10346.0,СП,2016-06-23 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
163241,2479.0,Ж,СТ,,БП,З,35.03.07,Технология производства и переработки сельскохозяйственной продукции,8606.0,СР,,"СРЕДНЯЯ ШКОЛА N   2, КРЕСТЦЫ"
163241,2479.0,Ж,СТ,,БП,З,35.03.07,Технология производства и переработки сельскохозяйственной продукции,10034.0,СП,2016-06-23 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
170508,462.0,Ж,СТ,,ДОГ,З,40.03.01,Юриспруденция,1075.0,ОО,2011-06-15 00:00:00,МОСШ п. Волот
170508,462.0,Ж,СТ,,ДОГ,З,40.03.01,Юриспруденция,5182.0,СП,2015-06-25 00:00:00,ГУМАНИТАРНО-ЭКОНОМИЧЕСКИЙ КОЛЛЕДЖ НОВГУ
170510,3213.0,М,СТ,,ДОГ,З,40.03.01,Юриспруденция,404.0,СП,2011-06-30 00:00:00,"КОЛЛЕДЖ СТРОИТЕЛЬСТВА, ПРЕДПРИНИМАТЕЛЬСТВА И ПРАВА г.В.Новгород"
170521,2650.0,Ж,СТ,,ДОГ,З,40.03.01,Юриспруденция,4765.0,СП,2002-06-25 00:00:00,Новгородский гуманитарно-педагогический колледж при НовГУ
170524,2402.0,Ж,СТ,,ДОГ,З,40.03.01,Юриспруденция,10022.0,СП,2013-07-02 00:00:00,БОРОВИЧСКИЙ АВТОМОБИЛЬНО-ДОРОЖНЫЙ КОЛЛЕДЖ
170552,349.0,М,СТ,,ДОГ,З,40.03.01,Юриспруденция,748.0,ОСН,2010-06-21 00:00:00,"МОУ ""Средняя общеобразовательная школа № 20 им.Кирилла и Мефодия"""
170552,349.0,М,СТ,,ДОГ,З,40.03.01,Юриспруденция,10009.0,СП,2014-03-04 00:00:00,Политехнический колледж НовГУ
170534,6907.0,Ж,СТ,,ДОГ,З,40.03.01,Юриспруденция,10118.0,СР,2016-06-23 00:00:00,"ГИМНАЗИЯ N   2, НОВГОРОД"
170555,3169.0,М,СТ,,ДОГ,З,40.03.01,Юриспруденция,5062.0,СП,2015-01-31 00:00:00,"Профессиональный лицей № 1, ВЕЛИКИЙ НОВГОРОД"
170342,3449.0,М,СТ,,ДОГ,З,15.03.06,Мехатроника и робототехника,5097.0,СП,2010-06-29 00:00:00,ТЕХНИКУМ ДРУГОЙ
170344,2470.0,М,СТ,,ДОГ,З,15.03.06,Мехатроника и робототехника,4524.0,СП,2011-06-30 00:00:00,ТЕХНИКУМ ДРУГОЙ
170345,627.0,М,СТ,,ДОГ,З,15.03.06,Мехатроника и робототехника,1487.0,СР,2012-06-27 00:00:00,"МСОШ N   4, СТАРАЯ РУССА"
